단어,즐겁다,좋아하다,좋다,재미,재미없다,아쉽다,기쁘다,만족,비싸다,저렴,적당,괜찮다,가치,별로다,불행,아름답다,완벽,멋지다,행복,나쁘다,어렵다,훌륭,예쁘다,높다,낮다,대표,효율,비효율,않다,유명,적합,편리,흥미,눈부시다,없다,후회,새롭다,힘들다,놀랍다,활기차다,즐기다,독특,실망,다양,단순,비슷,신비하다,성스럽다,화려다하,최고,많다,굉장하다
즐겁다,즐겁습니다,좋아합니다,좋습니다,재미있습니다,재미없습니다,아쉽습니다,기쁩니다,만족합니다,비쌉니다,저렴합니다,적당합니다,괜찮습니다,가치있습니다,별로입니다,불행합니다,아름답습니다,완벽합니다,멋집니다,행복합니다,나쁩니다,어렵습니다,훌륭합니다,예쁩니다,높습니다,낮습니다,대표합니다,효율적,비효율적,아닙니다,유명합니다,적합합니다,편리합니다,흥미롭습니다,눈부십니다,없습니다,후회합니다,새롭습니다,힘듭니다,놀랍습니다,활기찹니다,즐깁니다,독특합니다,실망합니다,다양합니다,단순합니다,비슷합니다,신비합니다,성스럽습니다,화려합니다,최고의,많습니다,굉장합니다
좋아하다,즐거웠다,좋아했다,좋았다,재미있었다,재미없었다,아쉬웠다,기뻤다,만족했다,비쌌다,저렴했다,적당했다,괜찮았다,가치있었다,별로였다,불행했다,아름다웠다,완벽했다,멋졌다,행복했다,나빴다,어려웠다,훌륭했다,예뻤다,높았다,낮았다,대표했다,효율적인,비효율적인,,유명한,적합했다,편리했다,흥미로웠다,눈부셨다,없었다,후회했다,새로웠다,힘들었다,놀라웠다,활기찼다,즐겼다,독특했다,실망했다,다양했다,단순했다,비슷했다,신비한,성스러운,화려했다,최고입니다,많은,굉장한
좋다,즐거웠습니다,좋아했습니다,좋았습니다,재미있었습니다,재미없었습니다,아쉬웠습니다,기뻤습니다,만족했습니다,비쌌습니다,저렴했습니다,적당했습니다,괜찮았습니다,가치있었습니다,별로였습니다,불행했습니다,아름다웠습니다,완벽했습니다,멋졌습니다,행복했습니다,나빴습니다,어려웠습니다,훌륭했습니다,예뻤습니다,높았습니다,낮았습니다,대표했습니다,효율적이었습니다,비효율적이었습니다,,유명하다,적합했습니다,편리했습니다,흥미로웠습니다,눈부셨습니다,없었습니다,후회했습니다,새로웠습니다,힘들었습니다,놀라웠습니다,활기찼습니다,즐겼습니다,독특했습니다,실망했습니다,다양했습니다,단순했습니다,비슷했습니다,신비하고,성스럽고,화려한,최고이다,많고,굉장하고
재미,즐거운,좋아하는,좋은,재미있는,재미없는,아쉬운,기뻤고,만족하는,비싼,저렴한,적당한,괜찮은,가치 있는,가치 없는,불행한,아름다운,완벽한,멋진,행복한,나쁜,어려운,훌륭한,예쁜,높은,낮은,대표하는 ,효율적인,비효율적인,,유명해요,적합한,편리한,흥미로운,눈부신,,후회하는,새로운,힘든,놀라운,활기찬,즐기는,독특한,실망하는,다양한,단순한,비슷한,신비해요,성스러워요,화려하고,최고였다,많았다,굉장했습니다
재미없다,즐겁게,좋아해서,좋게,재미있게,재미없게,아쉬움,기쁘고,만족할,비싸고,저렴하고,적당하고,괜찮고,가치있는,가치없는,불행히도,아름다운,완벽하고,멋지네요,행복하게하고,나쁩니다,어렵습니다,훌륭합니다,예뻤어요,높게,낮게,대표해요,효율적이예요,비효율적이예요,,,적합하므로,편리하지만,흥미 롭습니다,눈부시네요,,후회해요,새로움,힘들었어요,놀라워요,활기차고,즐길 수,독특해요,실망했습니다,다양했어요,단순히,비슷해요,신비했습니다,,화려하며,최고인,많아요,굉장해요
아쉽다,즐거움,좋아함,좋으며,재미 있는,재미 없는,아쉬웠지만,기뻐서,만족하게,비쌈,저렴해요,적당해요,괜찮아요,가치 있습니다,가치 없습니다,불행합니다,아름다움,완벽합니다,멋져요,행복하다,나쁜,어렵고,훌륭하고,예쁘네요,높으며,낮으며,대표하다,,,,,적합해요,편리해요,흥미로워요,눈부셔요,,후회했어요,,힘들었네요,놀랍네요,활기차요,즐기십시오,독특하네요,실망했어요,다양하네요,단순해요,비슷함,,,화려했어요,최고예요,많았습니다,굉장하며
기쁘다,즐길,좋아한다,좋아,재미 있다,재미 없습니다,아쉽지만,기쁨,만족해요,저렴하지는,저렴하다,나쁘지 않습니다,괜찮네요,가치 있어요,가치 없어요,불행하다,아름다웠습니다,완벽한,멋졌어요,행복한,나쁘고,어려운,훌륭했고,예쁨,높아요,낮아,,,,,,적합하네요,편리하네요,흥미로움,눈부심,,호회,,힘듦,놀라움,활기차네요,즐겼어요,독특하다,실망이에요,다양하다,단순함,비슷하다,,,화려했습니다,최고에요,많으며,굉장하네요
만족,즐거워서,,좋고,재미 있습니다,재미 없었다,아쉬웠고,기뻐요,만족한,비싸요,저렴하네요,나쁘지 않다,괜찮음,,별로,,아름답고,완벽함,멋짐,행복하고,나빴고,어려움,훌륭한,,높고,낮고,,,,,,적합하다,편리함,,,,후회하다,,고단,,,즐겼네요,독특하고,실망이예요,다양함,단순하다,비숫하고,,,해려해요,최고였습니다,,
비싸다,즐겁고,,좋아요,재미있었어요,노잼,아쉽고,기쁘네요,만족하다,비싸네요,저렴했어요,나쁘지 않음,,,,,아름답다,완벽하다,멋지고,행복했고,나쁨,어려웠어요,훌륭함,,높아요,낮아요,,,,,,적합함,편리하다,,,,,,,,,즐김,,실망,다양해요,단순하고,,,,,,,
저렴,즐길 수,,좋았구,재미있어요,재미없네요,아쉬워요,기쁘군요,,비쌌어요,저렴하군요,나쁘지 않고,,,,,아름답습니다,,멋졌어요,행복함,나빴어요,어렵네요,훌륭했어요,,높았구,낮았구,,,,,,,,,,,,,,,,,,실망함,다양하고,,,,,,,,
적당,즐김,,좋았고,재미 있어서,,아쉽네요,기쁜,,비싸군요,싸다,나쁘지 않아,,,,,아름다,,멋졌구,행복했어요,나쁘네요,,훌륭하네요,,높았고,낮았고,,,,,,,,,,,,,,,,,,실망하다,,,,,,,,,
괜찮다,,,좋았네요,재미 있고,,,,,비쌀,싸고,적당하다,,,,,아름다워요,,,행복하네요,,,훌륭하다,,높았네요,낮았네요,,,,,,,,,,,,,,,,,,실망하고,,,,,,,,,
가치,,,좋네요,재밌고,,,,,,싸네요,적당하게,,,,,아름답네요,,,행복함,,,,,높네요,낮네요,,,,,,,,,,,,,,,,,,,,,,,,,,,
별로다,,,좋구요,재미난,,,,,,쌉니다,적당하네요,,,,,아름답군요,,,,,,,,높구요,낮구요,,,,,,,,,,,,,,,,,,,,,,,,,,,
불행,,,좋고요,꿀잼,,,,,,쌈,적당했어요,,,,,아름답게,,,,,,,,높고요,낮고요,,,,,,,,,,,,,,,,,,,,,,,,,,,
아름답다,,,좋았구요,재미있다,,,,,,,적당하군요,,,,,,,,,,,,,높았구요,낮았구요,,,,,,,,,,,,,,,,,,,,,,,,,,,
완벽,,,좋음,,,,,,,,,,,,,,,,,,,,,높음,낮음,,,,,,,,,,,,,,,,,,,,,,,,,,,
멋지다,,,,,,,,,,,,,,,,,,,,,,,,높았어요,낮았어요,,,,,,,,,,,,,,,,,,,,,,,,,,,
행복,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
나쁘다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
어렵다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
훌륭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
예쁘다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
높다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대표,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
효율,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
비효율,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
않다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
유명,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
적합,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
편리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥미,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
눈부시다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
없다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
후회,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
새롭다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
힘들다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
놀랍다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
활기차다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
즐기다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
독특,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
실망,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
다양,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
단순,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
비슷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
